"lang","id","latin_name","image_src","class_id","order_id","habitats","continents","localities_url","name","description","spread_note","food","food_note","proportions","reproduction","attractions","projects_note","breeding","localities_title"
"cs","1","Panthera leo persica","https://zoopraha.cz/images/lexikon-images/lev_indickz_03_-_archiv_zoo.jpg","1","30","7","2","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1454-pavilon-kockovitych-selem-a-terarium","Lev indický","Lev indický je jedinou kočkovitou šelmou s výraznou pohlavní dvojtvárností. Samce jsou větší než samice a mají typickou hřívu. Mláďata mají skvrny a barva dospělých je plavá hnědá.","Rezervace Gírský les v západní Indii","Živá kořist","Obratlovci do velikosti buvola","Délka těla 1,4-2,5 m; délka ocasu 90-105 cm; výška v kohoutku 1-1,2 m; hmotnost 120-250 kg","Samice je březí 100-119 dní, rodí 1-6 mláďat.","Lvi jsou jedinými kočkovitými šelmami, které žijí ve skupinách. U lvů afrických vedou rodinnou skupinu jeden nebo dva nejsilnější samci, kteří se však lovu neúčastní. Ten je záležitostí lvic, z nichž některé číhají v záloze a jiné jim kořist nadhánějí. Z úlovku se nejprve nasytí vedoucí samci. Samotářsky žijí většinou jen staří samci nebo naopak mladí lvi, kteří nedokážou skupinu samic účinně obránit před jinými samci. Naproti tomu u lvů indických žijí samci mimo smečku, tedy samotářsky, a sami aktivně loví.","Lvi kdysi obývali nejen Afriku, ale také Asii a jižní Evropu. Z asijské populace zbyl nepatrný počet lvů v rezervaci Gírský les v Indii. Právě na kriticky ohrožené lvy indické se v posledních letech soustředily snahy zoologických zahrad o jejich záchranu. V rámci Evropského záchovného programu (EEP) se do tohoto úsilí zapojila i pražská zoo.","Lvi, i když ti afričtí, však byli v pražské zoo chováni už dávno předtím – vlastně ještě dříve, než byla otevřena pro veřejnost. Prvním z nich se stala malá lvice Šárka, dar ředitele cirkusu Rebernigg, která žila od března 1930 ve vile zakladatele zoo prof. Jiřího Jandy.","Pavilon šelem a plazů"
"cs","10","Caracal caracal","https://zoopraha.cz/images/lexikon-images/karakal_-_archiv_zoo.jpg","1","30","4","2","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1454-pavilon-kockovitych-selem-a-terarium","Karakal","Má jednofarebne plavé až nareznuté sfarbenie (existuje aj čierna forma), štíhle telo, krátky chvost a dlhé nohy. Typické sú dlhé štetinky tmavých chlpov na špičkách ušníc a čierne linky v tvári.","Afrika s výnimkou Sahary a Konžskej panvy, cez Arabský polostrov po západnú Áziu","živá korisť","menšie stavovce vrátane vtákov, dikobrazov alebo malých antilop","Dĺžka tela 60–91,5 cm, dĺžka chvosta 23–31 cm, výška v kohútiku 38–50 cm, hmotnosť 13–19 kg","Samica je brezivá 69–78 dní, rodí 2–4 mláďatá.","Karakal síce môže štetinkami chlpov na ušniciach pripomínať rysa, v skutočnosti však má blízkych príbuzných medzi servalmi. Srsť karakala ho v prostredí otvorenej suchej krajiny dokonale maskuje. Životu v miestach, kde je voda vzácnosťou, je výborne prispôsobený a veľmi účinne hospodári s tekutinami obsiahnutými v potrave. Je neobyčajne mrštný a silný, obratne sa pohybuje medzi strmými balvanmi a dobre skáče a šplhá. Preto dokáže uloviť aj ťažko polapiteľné damany. Jeho častou korisťou sú aj vtáky, ktoré často chytá jediným výskokom priamo v lete. Zdolá dokonca aj zvieratá, ktoré sú v pomere k jeho telu značne veľké, napríklad bociany. Dospelé karakaly sú samotáre a samci si obhajujú teritórium, ale mláďatá spolu často zostávajú, kým nedospejú.","","V pražskej zoo boli karakaly chované v troch obdobiach. Najprv v rokoch 1961 až 1971, potom v rokoch 1982−1989 a potom od roku 2004 dodnes. Väčšina zvierat zo 60. rokov však patrila k takzvaným tranzitným druhom. Do rôznych európskych zoo putovali zo Zoocentra Moskva práve cez Prahu. Iba pár pochádzajúci z brnianskej zoo u nás pobudol päť rokov (1966−1971). Odchovy v ľudskej starostlivosti nie sú u týchto pôvabných šeliem príliš bežné. V pražskej zoo sa zatiaľ podarilo úspešne odchovať dve mláďatá – v rokoch 2009 a 2010. Ich rodičmi sú samica Karkulka (narodená 2006 v Animal Parku) a samec Karkuš (narodený 2008 v Tierparku Berlin).","Pavilón šeliem a plazov"
"cs","100","Vicugna pacos","https://zoopraha.cz/images/lexikon-images/_22J6092.jpg","1","4","5","3","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1463-detska-zoo","Alpaka","Alpaka má kompaktní vzhled – krátké tělo, zakulacenou hlavu, malé ušní boltce a poměrně krátký, rovný ocas. Chovný typ huyacaya má spíše kratší, vlnitou srst, zatímco typ suri má srst dlouhou a rovnější. Srst, která pokrývá tělo, nohy i obličej, může být bílá, plavá, hnědá až téměř černá, případně dvoubarevná.","Domácí zvíře, chována hlavně v Peru a Bolívii, ale i jinde včetně USA nebo Austrálie","Části rostlin","Tráva a jiná vegetace rostoucí nízko při zemi","Délka těla 1,2–2,5 m, délka ocasu 60–80 cm, výška v kohoutku 94–104 cm, hmotnost 55–65 kg","Samice je březí 342–345 dnů a rodí jedno mládě.","Samci mají až 3 cm dlouhé spodní špičáky, které používají při vzájemných soubojích. Dlouho se soudilo, že jejím předkem byla divoká lama guanako, dnes se však vědci domnívají, že se vyvinula z drobnější vikuně. Huňatý kožich alpaky naznačuje, že dokáže úspěšně čelit drsným klimatickým podmínkám vysoko v jihoamerických Andách, kde je její domov. Na rozdíl od lamy krotké není alpaka využívána jako nákladní zvíře, ale jen pro kvalitní vlnu a netučné maso.","","Alpaky chováme od roku 1992. První mládě bylo odchováno v roce 1997.","Dětská zoo"
"cs","101","Polyplectron napoleonis","https://zoopraha.cz/images/lexikon-images/bazant_palawansky_-_Antonin_Vaidl.jpg","2","37","6","2","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu","Bažant palawanský","Zatímco samice je hnědá a na ocase má jen jednu řadu modrých „očí“, samec je celkově modrý s černou kresbou, delší ocas mu zdobí dvojitá řada výrazných skvrn a na temeni má zašpičatělou chocholku.","Filipínský ostrov Palawan","Bezobratlí","Semena, drobné plody, listy a výhonky, bezobratlí","Délka 40–50 cm (z toho ocas 16–25 cm), hmotnost 0,3–0,5 kg","Samice snáší 2 vejce, sedí na nich sama 18–20 dní.","Žije poměrně skrytě, a tak o něm máme jen málo dajů z přírody. Tok je velmi okázalý, samec láká samici nejen zvláštním tancem, při kterém překlápí chocholku a roztahuje vějířovitě ocas, ale i přinášením potravy. Samice pak sama připraví hnízdo a sedí na vejcích.","Jeho domovské lesy obrovskou rychlostí mizí kvůli těžbě dřeva a bažantů rychle ubývá. Proto se těší přísné mezinárodní ochraně a v Červeném seznamu IUCN je veden jako zranitelný druh.","V zoo se tito bažanti objevili hned dvakrát. Chovali jsme je již v letech 1963−1973 a poté od roku 1988. První mláďata byla úspěšně odchována v roce 1995.","Dolní část zoo"
"cs","103","Marmaronetta angustirostris","https://zoopraha.cz/images/lexikon/cirka_uzkozoba.jpg","2","44","2","7","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/5807-ptaci-svet","Čírka úzkozobá","Má celkově hnědé až hnědošedé zbarvení s béžovým skvrněním. Tenký zobák je černý. Na temeni má malou chocholku.","Vytváří tři oddělené populace – jedna hnízdí v západním Středomoří a zimuje v severní a západní Africe, druhá hnízdí ve východním Středomoří a zimuje v Egyptě a třetí hnízdí v západní a jižní Asii a zimuje v Íránu, Pákistánu a Indii.","Bezobratlí","Části vodních rostlin, vodní bezobratlí","Délka 39−48 cm, hmotnost 450−600 g","Samice snáší 7−12 vajec, na kterých sedí sama 25−27 dní.","Je příbuzná víc polákům než ostatním čírkám a tomu odpovídá i zvyk potápět se pro potravu pod hladinu. Na zimovišti vytvářejí čírky sezonní páry, které pak společně vyhledávají místo pro hnízdo.","V důsledku ztráty a degradace biotopu její početní stavy prudce klesly a v Červeném seznamu IUCN je vedena jako zranitelný druh.","Chováme je od roku 1980, od roku 2006 je i rozmnožujeme.","Ptačí svět"
"cs","104","Balaeniceps rex","https://zoopraha.cz/images/lexikon-images/CA_7.jpg","2","58","4","1","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu","Člunozobec africký","Stojící člunozobec je vysoký až 140 cm a je nezaměnitelný. Zbarvení je popelavě šedé, s tmavším skvrněním. Typický je mohutný zobák s ostrou hákovitou špičkou horní čelisti. Vysoké nohy jsou tmavě šedé, bez plovacích blan.","Východní část střední Afriky","Ryby","Především bichirové a bahníci","Délka těla 90–93 cm, délka ocasu 26,5–30,5 m, rozpětí křídel až 320 cm, hmotnost 5–8 kg","Počet vajec 2 (1–3), inkubace 30 dní","Je to samotář a jen v době hnízdění lze zastihnout rodičovský pár pohromadě. Společně vybuduje hnízdo na zemi, pro které nejprve vyčistí plochu o průměru asi 3 m, zatímco vlastní stavba zabírá plochu o průměru kolem 1 m. Pak se rodiče střídají při zahřívání či naopak ochlazování vajec. Za horkých dnů přinášejí v zobáku vodu, kterou vejce postřikují, nebo přes ně navrství vlhkou trávu.","","Ptáci chovaní v pražské zoo k nám přišli koncem roku 2004 z Afriky a o 2 roky později se jeden pár přestěhoval do expozice Ptačí mokřady v dolní části zoo.","Dolní část zoo"
"cs","105","Hystrix africaeaustralis","https://zoopraha.cz/images/lexikon-images/dikobraz_jihoafricky_486-86~3.jpg","1","39","4","1","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1443-afrika-zblizka","Dikobraz jihoafrický","Má tělo pokryté tuhými chlupy, ostny a bodlinami. Na hřbetě tvoří jakousi hřívu, kterou dikobraz v rozčilení naježí. Některé ostny na ocase jsou duté, a když zvíře při hrozbě ocasem potřásá, vydávají chřestivý zvuk.","Subsaharská Afrika kromě pouští na jihozápadě","Části rostlin","Podzemní části rostlin, spadané plody, kůra","Délka těla 53–83 cm, délka ocasu 2–13 cm, hmotnost 13–27 kg","Březost trvá 90–94 dny, počet mláďat 1–3.","U tohoto druhu je to samice, kdo provokuje samce k páření. Je-li v říji, otáčí se k němu zády, zvedá ocas a bodliny sklápí směrem od něj. Žije samotářsky nebo v rodinných skupinách s různě starými mláďaty. Ta mají hned po narození otevřené oči, vyvinuté zuby a měkké ostny, které brzy ztvrdnou. Zpočátku tráví čas v měkce vystlaném pelechu v podzemní noře. Dikobrazové si hloubí až dvacetimetrové nory sami a uchylují se do nich v nebezpečí a v době odpočinku. Často také využívají přirozené skalní úkryty.","","Patří k poměrně novým druhům. První přišli v roce 2003, rozmnožovat se začali v roce 2004.","Afrika zblízka"
"cs","106","Hystrix indica","https://zoopraha.cz/images/lexikon-images/dikobraz_srstnatonosy_IMG_7616.jpg","1","39","7","2","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1441-secuan-pavilon-ptaku-z-podhuri-himalaje","Dikobraz srstnatonosý","Je to představitel „typických“ dikobrazů. Má velkou hlavu s tupým čenichem a hřbet, ocas a boky pokryté různě dlouhými bodlinami a ostny.","Střední a jihovýchodní Asie, zčásti Blízký východ","Části rostlin","Části rostlin","Délka těla 70-90cm, ocas 8–13 cm, hmotnost 13–27 kg","Březost průměrně 118 dní, počet mláďat 1–4","Při hrozbě vztyčuje delší bodliny na hřbetě a potřásá ocasem, čímž vyluzuje chřestivý zvuk. Ostny ovšem nevystřeluje, ale dokáže se bleskurychle otočit, prudce zacouvat a zasáhnout útočníka naježenými ostny. Protože vězí v kůži velmi lehce, snadno se uvolní, zůstanou vězet v kůži predátora a způsobují mnu bolestivé rány, které se často zanítí. Žijí samotářsky, v párech nebo rodinných skupinách. Ve dne se ukrývají ve skalních puklinách, jeskyních nebo norách.","","První dikobrazi srstnatonosí přišli v r. 1942 z Tilburgu, několik dalších se objevilo v 50. letech. Ovšem záznamy jsou neúplné, takže například mláďata narozená v roce 1972 mají nejasný původ. Rekordmanem v pražské zoo byl samec Ferdinand, který se tu narodil v srpnu 1981 a uhynul v květnu 2012, tedy ve věku téměř 31 let.","Sečuán - pavilon ptáků z podhůří Himálaje"
"cs","107","Turdus dissimilis","https://zoopraha.cz/images/lexikon/drozd_černoprsý.jpg","2","18","6","2","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1441-secuan-pavilon-ptaku-z-podhuri-himalaje","Drozd černoprsý","Je svrchu břidlicově šedý, na bocích má oranžovou skvrnu, zobák je rovněž oranžový. Samice má bělavé hrdlo a hruď s tmavými podélnými skvrnkami. Samec má hlavu, krk a horní část hrudi černé.","Jihovýchodní Asie","Plody","Hmyz, plži, bobule","Délka 22-23 cm, hmotnost 50–60 g","Samice snáší 3–4 vajíčka, doba inkubace je 12–13 dní.","Žije v párech, skrytě v hustém podrostu. Samec také ze země ozývá hlasitým, výrazným zpěvem.","","Chováme je od roku 2007.","Sečuán - pavilon ptáků z podhůří Himálaje"
"cs","108","Zoothera sibirica","https://zoopraha.cz/images/lexikon/drozd_tmavý.jpg","2","18","7","7","http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu","Drozd tmavý","Samec je břidlicově šedočerný, s bílým nadočním proužkem, který se táhne až k zátylku. Podbřišek má světlý, s černou kresbou. Samice je hnědavá, spodinu těla má světlou, s tmavým skvrněním.","Hnízdí na Sibiři, zimuje v jihovýchodní Asii. Výjimečně zalétá i do Evropy.","Plody","Hmyz a jeho larvy, červi, na podzim i spadané bobule","Délka těla 20–27 cm, rozpětí křídel 11–16 cm, hmotnost 50–130 g","Počet vajec 2–7, inkubace 12–15 dní","Žije skrytě, většinu času tráví na zemi, kde si hledá potravu. Hnízdo staví v hustém podrostu nebo v keřích, nanejvýš 3 m nad zemí.","","V roce 1997 přišel z přírody pár, který se stal zakladatelem úspěšného chovu. Samec z toho páru žil v zoo až do roku 2011.","Dolní část zoo"
