"id","lang","name","description"
"1","cs","Afrika","Druhý největší kontinent, domov rozmanité fauny a flóry."
"1","en","Africa","The second-largest continent, home to diverse wildlife and ecosystems."
"1","de","Afrika","Der zweitgrößte Kontinent, Heimat einer vielfältigen Tier- und Pflanzenwelt."
"2","cs","Asie","Největší kontinent na světě s rozmanitými klimatickými zónami."
"2","en","Asia","The largest continent with diverse climates and ecosystems."
"2","de","Asien","Der größte Kontinent mit vielfältigen Klimazonen und Ökosystemen."
"3","cs","Jižní Amerika","Kontinent s tropickými deštnými pralesy a rozsáhlými savanami."
"3","en","South America","A continent with tropical rainforests and vast savannas."
"3","de","Südamerika","Ein Kontinent mit tropischen Regenwäldern und weiten Savannen."
"4","cs","Severní Amerika","Rozsáhlý kontinent s různorodými ekosystémy od tundry po pouště."
"4","en","North America","A vast continent with diverse ecosystems, from tundra to deserts."
"4","de","Nordamerika","Ein riesiger Kontinent mit vielfältigen Ökosystemen, von der Tundra bis zu Wüsten."
"5","cs","Austrálie","Nejmenší kontinent, známý unikátní faunou a flórou."
"5","en","Australia","The smallest continent, known for its unique wildlife and ecosystems."
"5","de","Australien","Der kleinste Kontinent, bekannt für seine einzigartige Tier- und Pflanzenwelt."
"6","cs","V přírodě nežije","Tento druh se v divoké přírodě nevyskytuje."
"6","en","Does not live in the wild","This species does not occur in the wild."
"6","de","Lebt nicht in der Wildnis","Diese Art kommt in der freien Natur nicht vor."
"7","cs","Evropa","Kontinent s mírným klimatem a pestrou krajinou."
"7","en","Europe","A continent with a temperate climate and diverse landscapes."
"7","de","Europa","Ein Kontinent mit gemäßigtem Klima und vielfältigen Landschaften."
