"id","class_id","lang","name","description"
"1","1","cs","Málozubí (Diprotodontia)","Skupina savců zahrnující vačnatce jako klokan, koala a medvídek mýval."
"1","1","en","Diprotodontia","A group of marsupials including kangaroos, koalas, and wombats."
"1","1","de","Diprotodontia","Eine Gruppe von Beuteltieren, zu der Kängurus, Koalas und Wombats gehören."
"2","3","cs","Želvy (Chelonia)","Plazi známí svými tvrdými krunýři, kteří chrání jejich tělo."
"2","3","en","Chelonia","Reptiles known for their hard shells that protect their bodies."
"2","3","de","Schildkröten (Chelonia)","Reptilien, bekannt für ihre harten Panzer, die ihren Körper schützen."
"3","2","cs","Veslonozí (Pelecaniformes)","Skupina ptáků zahrnující pelikány, kormorány a ibisy, charakteristické dlouhými zobáky."
"3","2","en","Pelecaniformes","A group of birds including pelicans, cormorants, and ibises, known for their long bills."
"3","2","de","Ruderfüßer (Pelecaniformes)","Eine Gruppe von Vögeln, zu der Pelikane, Kormorane und Ibisse gehören, bekannt für ihre langen Schnäbel."
"4","1","cs","Sudokopytníci (Artiodactyla)","Savci s rovnými prsty, například jeleni, prase, a ovce."
"4","1","en","Artiodactyla","Mammals with even-toed hooves, such as deer, pigs, and sheep."
"4","1","de","Paarhufer (Artiodactyla)","Säugetiere mit geraden Zehen, wie Hirsche, Schweine und Schafe."
"5","1","cs","Bércouni (Macroscelidea)","Malí savci, známí svými dlouhými nohami, kteří obývají Afriku."
"5","1","en","Macroscelidea","Small mammals known for their long legs, found in Africa."
"5","1","de","Rüsselspringer (Macroscelidea)","Kleine Säugetiere, bekannt für ihre langen Beine, die in Afrika leben."
"6","1","cs","Hmyzožravci (Eulipotyphla)","Malí savci, kteří se živí hmyzem, jako je ježek a krt."
"6","1","en","Eulipotyphla","Small mammals that feed on insects, such as hedgehogs and moles."
"6","1","de","Insektenfresser (Eulipotyphla)","Kleine Säugetiere, die sich von Insekten ernähren, wie Igel und Maulwürfe."
"7","2","cs","Hrabaví (Galliformes)","Skupina ptáků, mezi které patří kuřata, krocani a bažanti, známí svou robustní stavbou těla."
"7","2","en","Galliformes","A group of birds including chickens, turkeys, and pheasants, known for their stocky bodies."
"7","2","de","Hühnervögel (Galliformes)","Eine Gruppe von Vögeln, zu der Hühner, Truthähne und Fasane gehören, bekannt für ihren kräftigen Körperbau."
